id,timestamp,id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
56,1778416121660,55.0,1.4617317,0.41904885,0.85700125,-0.3454443,-5.56315,2.21683
57,1778416121670,56.0,2.0333505,0.75004375,1.8651698,-1.8577939,-4.733595,2.3701572
58,1778416121680,57.0,2.242204,1.0544518,2.3551373,-2.0804543,-4.1618247,2.2142339
59,1778416121690,58.0,2.4313614,1.3427002,2.7615025,-1.8694004,-3.2682817,1.8070921
60,1778416121700,59.0,2.4830105,1.4384986,2.8964496,-1.505172,-2.4115434,1.4462235
61,1778416121710,60.0,2.4429474,1.4991728,2.7658322,-1.0175488,-1.5230398,1.1685852
62,1778416121720,61.0,2.3249526,1.5706403,2.634056,-0.66446865,-0.8556695,1.0253373
63,1778416121730,62.0,2.1704924,1.6138136,2.4475818,-0.35094208,-0.36651915,0.9274462
64,1778416121740,63.0,1.9674928,1.6228385,2.2312887,0.21044308,0.08032878,0.75609845
65,1778416121750,64.0,1.644791,1.6361321,1.9468818,0.9650144,0.45356745,0.5421429
66,1778416121760,65.0,1.644791,1.6361321,1.9468818,0.9650144,0.45356745,0.5421429
67,1778416121770,66.0,1.1750685,1.4416695,1.2512925,2.3651175,0.7171558,-0.20189096
68,1778416121780,67.0,0.9831671,1.3161743,1.0518907,2.7850873,0.6750061,-0.39584067
69,1778416121790,68.0,0.8380977,1.1781785,0.96670276,3.073874,0.7287622,-0.54061574
70,1778416121800,69.0,0.7192493,1.0335969,0.7704718,3.3611333,0.8176431,-0.6180429
71,1778416121810,,,,,,,
72,1778416121820,70.0,0.55484945,0.8324875,0.5558861,3.9509237,1.1557571,-0.91706145
73,1778416121830,71.0,0.55484945,0.8324875,0.5558861,3.9509237,1.1557571,-0.91706145
74,1778416121840,72.0,0.48149154,0.6135724,0.23787974,4.6523495,1.2301298,-1.2996159
75,1778416121850,73.0,0.4732593,0.48710158,0.114153,5.0933943,1.0914634,-1.5036448
76,1778416121860,74.0,0.4732593,0.48710158,0.114153,5.0933943,1.0914634,-1.5036448
77,1778416121870,75.0,0.4732593,0.48710158,0.114153,5.0933943,1.0914634,-1.5036448
78,1778416121880,76.0,0.5263112,0.32160413,-0.014452063,5.8458276,0.6010914,-1.9254472
79,1778416121890,77.0,0.5776557,0.23623328,-0.03164819,6.080858,0.3753767,-2.176513
80,1778416121900,78.0,0.6390617,0.15433827,-0.00073175,6.144541,0.28817567,-2.3095288
81,1778416121910,79.0,0.7206518,0.07982173,0.056771606,6.059936,0.22220223,-2.4836254
82,1778416121920,80.0,0.88078314,0.08140719,0.19531627,5.4550266,0.5534439,-2.9984322
83,1778416121930,81.0,0.8976134,0.090737,0.24239218,4.995045,0.79351395,-3.2919528
84,1778416121940,82.0,0.85584265,0.10006681,0.25611252,4.5970664,0.9764681,-3.5227072
85,1778416121950,83.0,0.8114498,0.083053626,0.25830775,4.11601,1.1117748,-3.6754234
86,1778416121960,84.0,0.74272627,0.10360361,0.2550149,3.768275,1.1775955,-3.6780195
87,1778416121970,85.0,0.74272627,0.10360361,0.2550149,3.768275,1.1775955,-3.6780195
