id,timestamp,id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1778446497660,1.0,-0.2524006,0.52844036,0.6668654,0.0,0.0,0.0
1,1778446497670,2.0,-0.294495415,0.52344798,0.6654892800000001,0.0,0.0,0.0
2,1778446497680,3.0,-0.33659023,0.5184556,0.66411316,0.0,0.0,0.0
3,1778446497690,4.0,-0.33659023,0.5184556,0.66411316,0.0,0.0,0.0
4,1778446497700,5.0,-0.33659023,0.5184556,0.66411316,0.0,0.0,0.0
5,1778446497710,6.0,-0.3787920449999999,0.51590212,0.6796101,0.0,0.0,0.0
6,1778446497720,7.0,-0.42099386,0.51334864,0.69510704,0.0,0.0,0.0
7,1778446497730,8.0,-0.42099386,0.51334864,0.69510704,0.0,0.0,0.0
8,1778446497740,9.0,-0.42099386,0.51334864,0.69510704,0.0,0.0,0.0
9,1778446497750,10.0,-0.42099386,0.51334864,0.69510704,0.0,0.0,0.0
10,1778446497760,11.0,-0.42099386,0.51334864,0.69510704,0.0,0.0,0.0
11,1778446497770,12.0,-0.42099386,0.51334864,0.69510704,0.0,0.0,0.0
12,1778446497780,13.0,-0.42099386,0.51334864,0.69510704,0.0,0.0,0.0
13,1778446497790,14.0,-0.5067635133333334,0.51219672,0.77958208,0.0,0.0,0.0
14,1778446497800,15.0,-0.54964834,0.51162076,0.8218196,0.0,0.0,0.0
15,1778446497810,16.0,-0.5511774,0.5160092,0.95290524,0.0,0.0,0.0
16,1778446497820,17.0,-0.5511774,0.5160092,0.95290524,0.0,0.0,0.0
17,1778446497830,18.0,-0.5511774,0.5160092,0.95290524,0.0,0.0,0.0
18,1778446497840,19.0,-0.5511774,0.5160092,0.95290524,0.0,0.0,0.0
19,1778446497850,20.0,-0.5511774,0.5160092,0.95290524,0.0,0.0,0.0
20,1778446497860,21.0,-0.4787003,0.50998473,0.916315,0.0,0.0,0.0
21,1778446497870,22.0,-0.4787003,0.50998473,0.916315,0.0,0.0,0.0
22,1778446497880,23.0,-0.4787003,0.50998473,0.916315,0.0,0.0,0.0
23,1778446497890,24.0,-0.4787003,0.50998473,0.916315,0.0,0.0,0.0
24,1778446497900,25.0,-0.4787003,0.50998473,0.916315,0.0,0.0,0.0
25,1778446497910,26.0,-0.4787003,0.50998473,0.916315,0.0,0.0,0.0
26,1778446497920,27.0,-0.4787003,0.50998473,0.916315,0.0,0.0,0.0
27,1778446497930,28.0,-0.4787003,0.50998473,0.916315,0.0,0.0,0.0
28,1778446497940,29.0,-0.4787003,0.50998473,0.916315,0.0,0.0,0.0
29,1778446497950,30.0,-0.4787003,0.50998473,0.916315,0.0,0.0,0.0
30,1778446497960,31.0,-0.4787003,0.50998473,0.916315,0.0,0.0,0.0
31,1778446497970,32.0,-0.4787003,0.50998473,0.916315,0.0,0.0,0.0
32,1778446497980,33.0,-0.4787003,0.50998473,0.916315,0.0,0.0,0.0
33,1778446497990,34.0,-0.4787003,0.50998473,0.916315,0.0,0.0,0.0
34,1778446498000,35.0,-0.4787003,0.50998473,0.916315,0.0,0.0,0.0
35,1778446498010,36.0,-0.4361927,0.49285936,0.8799236,0.0,0.0,0.0
36,1778446498020,37.0,-0.4361927,0.49285936,0.8799236,0.0,0.0,0.0
37,1778446498030,38.0,-0.4021407,0.476246205,0.81865445,0.0,0.0,0.0
38,1778446498040,39.0,-0.33047401,0.4604969599999999,0.6896483,0.0,0.0,0.0
39,1778446498050,40.0,-0.29285932,0.46136087,0.6219113,0.0,0.0,0.0
40,1778446498060,41.0,-0.29285932,0.46136087,0.6219113,0.0,0.0,0.0
41,1778446498070,42.0,-0.29285932,0.46136087,0.6219113,0.0,0.0,0.0
42,1778446498080,43.0,-0.29285932,0.46136087,0.6219113,0.0,0.0,0.0
43,1778446498090,44.0,-0.29285932,0.46136087,0.6219113,0.0,0.0,0.0
44,1778446498100,45.0,-0.29285932,0.46136087,0.6219113,0.0,0.0,0.0
45,1778446498110,46.0,-0.2743781733333333,0.4558562633333333,0.5343883866666667,0.0,0.0,0.0
46,1778446498120,47.0,-0.2651376,0.45310396,0.49062693,0.0,0.0,0.0
47,1778446498130,48.0,-0.2651376,0.45310396,0.49062693,0.0,0.0,0.0
48,1778446498140,49.0,-0.2651376,0.45310396,0.49062693,0.0,0.0,0.0
49,1778446498150,50.0,-0.2651376,0.45310396,0.49062693,0.0,0.0,0.0
50,1778446498160,51.0,-0.2651376,0.45310396,0.49062693,0.0,0.0,0.0
51,1778446498170,52.0,-0.2651376,0.45310396,0.49062693,0.0,0.0,0.0
52,1778446498180,53.0,-0.2651376,0.45310396,0.49062693,0.0,0.0,0.0
53,1778446498190,54.0,-0.4029511,0.4135627,0.59561163,0.0,0.0,0.0
54,1778446498200,55.0,-0.4029510999999999,0.4135627,0.59561163,0.0,0.0,0.0
55,1778446498210,56.0,-0.4029510999999999,0.4135627,0.59561163,0.0,0.0,0.0
56,1778446498220,57.0,-0.4029510999999999,0.4135627,0.59561163,0.0,0.0,0.0
57,1778446498230,58.0,-0.4285066333333334,0.3912691,0.6173649433333334,0.0,0.0,0.0
58,1778446498240,59.0,-0.4412844,0.3801223,0.6282416,0.0,0.0,0.0
59,1778446498250,60.0,-0.4412844,0.3801223,0.6282416,0.0,0.0,0.0
60,1778446498260,61.0,-0.4412844,0.3801223,0.6282416,0.0,0.0,0.0
61,1778446498270,62.0,-0.4412844,0.3801223,0.6282416,0.0,0.0,0.0
62,1778446498280,63.0,-0.4412844,0.3801223,0.6282416,0.0,0.0,0.0
63,1778446498290,64.0,-0.4412844,0.3801223,0.6282416,0.0,0.0,0.0
